original_filename,repository_path,bytes,sha256
【PCB效果图】多功能数字钟--3D--V1.3.png,hardware/images/【PCB效果图】多功能数字钟--3D--V1.3.png,163065,0d8be50a707a45dea3395a239ef0d770b0643b684ce089a0ea278b193878a7ab
【电路图】Schematic_单片机课程设计之数字钟_2024-06-26.pdf,hardware/【电路图】Schematic_单片机课程设计之数字钟_2024-06-26.pdf,136632,a347899b648ca961c86b55fcd995a9d615d96fb85d3c1b741c03cc42be99574f
【仿真】Proteus_DIGITAL_CLOCK_V4.2.pdf,hardware/simulation/【仿真】Proteus_DIGITAL_CLOCK_V4.2.pdf,24411,38d77f43dbbc08699b1a70be5ca14e4735f23fbb8d72ba111fb47651f25d35dd
【数据手册】STC15全系列中文资料2015-06(可复制版).pdf,docs/references/【数据手册】STC15全系列中文资料2015-06(可复制版).pdf,28111638,179c25c1796ef6b4b2f343fae1d294f4452df5a7e7945d0b129f3d7b88e27a99
